Time [ms],ACC_X [mg],ACC_Y [mg],ACC_Z [mg],GYRO_X [dps],GYRO_Y [dps],GYRO_Z [dps],MAG_X [uT],MAG_Y [uT],MAG_Z [uT]
31302096.0,-486.816376,-631.835938,602.050781,0.229008,1.206107,2.412214,4.05,-48.600002,16.050001
32248612.0,-351.562469,-570.800781,557.128906,1.29771,1.938931,-1.603053,5.1,-48.900002,15.150001
32431756.0,-313.476563,-523.925781,643.066345,0.541985,2.427481,0.099237,4.65,-48.450001,16.200001
32615168.0,-421.386688,-580.566406,599.609375,-0.198473,3.229008,0.083969,4.8,-47.400002,15.750001
32800128.0,-212.402328,-789.55072,660.156189,2.664122,1.10687,-0.885496,5.85,-48.0,16.950001
32983248.0,-475.097626,-685.546814,533.203125,2.251908,2.068702,-0.015267,6.45,-48.300003,15.750001
33166266.0,-329.101532,-706.542908,588.378906,0.763359,1.083969,1.618321,6.45,-47.850002,15.750001
33351344.0,-356.933563,-649.902283,639.648438,1.442748,3.412214,1.801527,5.4,-47.25,15.450001
33534580.0,-438.476532,-710.449158,609.375,-0.572519,3.167939,-0.427481,5.1,-48.900002,15.150001
33717664.0,-215.332016,-804.687439,635.253906,3.450382,-0.824427,-0.80916,5.85,-48.900002,14.400001
33903052.0,-548.828125,-865.722595,538.574219,-0.877863,3.847328,1.763359,5.25,-48.300003,15.3
34841384.0,-544.921875,-750.976501,538.085938,-0.709924,3.145038,-0.732824,6.6,-48.450001,14.400001
35024736.0,-324.707001,-610.351563,612.304688,-1.068702,1.229008,1.618321,5.85,-48.0,15.150001
35209584.0,-432.128876,-620.605469,625.976563,0.908397,2.908397,-0.015267,5.85,-47.25,15.150001
35392696.0,-433.105438,-830.566345,665.039001,1.259542,1.656489,-1.114504,5.1,-48.450001,15.450001
35575872.0,-469.238251,-685.546814,551.757813,-0.549618,2.274809,-0.725191,4.65,-48.450001,14.700001
35761176.0,-415.527313,-702.636658,552.246094,1.832061,0.282443,-1.725191,5.4,-49.650002,16.950001
35944320.0,-276.367188,-588.867188,610.839844,-3.480916,3.450382,-0.099237,5.85,-47.700001,15.900001
36127296.0,-428.222626,-604.492188,690.917908,-0.21374,3.290076,0.961832,6.0,-48.600002,15.3
36312152.0,-254.882797,-803.222595,666.015564,0.221374,1.931298,-0.007634,5.85,-48.0,16.200001
36495596.0,-330.078094,-598.144531,692.382751,-3.030534,1.885496,-1.083969,4.5,-47.850002,15.3
37444036.0,-422.363251,-679.687439,580.078125,-3.198473,4.145038,-0.70229,5.25,-48.600002,16.050001
