Time [ms]	ACC_X [mg]	ACC_Y [mg]	ACC_Z [mg]	GYRO_X [dps]	GYRO_Y [dps]	GYRO_Z [dps]	MAG_X [uT]	MAG_Y [uT]	MAG_Z [uT]
1705379200.0	-271.484375	-703.124939	-585.449219	-0.946565	2.717557	-0.80916	13.650001	-64.350006	36.75
1705556352.0	-538.085938	-977.05072	-732.910095	2.717557	2.992366	-0.244275	13.650001	-64.350006	37.200001
1705730816.0	-396.972626	-717.285095	-516.601563	3.145038	1.206107	-1.59542	15.000001	-64.050003	37.650002
1705905792.0	-324.218719	-604.980469	-457.519501	1.083969	0.068702	1.587786	13.05	-64.650002	36.450001
1706082432.0	-576.171875	-899.902283	-781.249939	1.740458	0.824427	-3.030534	13.35	-63.150002	36.75
1707057664.0	-579.589844	-955.078064	-743.164001	0.847328	2.473282	-0.251908	14.400001	-63.600002	37.950001
1707232768.0	-359.374969	-637.695313	-459.960907	-0.770992	3.534351	-1.435115	13.950001	-64.5	37.350002
1707410048.0	-387.695282	-615.722656	-498.046844	2.587786	-0.396947	-0.740458	13.950001	-64.5	38.400002
1707586944.0	-500.976532	-809.570251	-709.472595	2.717557	1.648855	-2.641221	12.6	-64.350006	37.200001
1707762816.0	-362.792938	-625.0	-500.976532	0.366412	1.900763	0.770992	13.35	-64.350006	37.200001
1707940864.0	-338.378876	-740.234314	-689.453064	0.625954	-1.923664	0.335878	13.200001	-63.750004	36.600002
1708116352.0	-447.265594	-821.289001	-751.464783	-1.29771	2.725191	-0.503817	12.750001	-65.25	37.050003
1708292224.0	-381.347626	-678.710876	-575.195313	0.770992	2.21374	0.10687	13.200001	-63.750004	36.600002
1708470016.0	-423.828094	-692.871033	-630.859375	0.167939	-3.519084	1.099237	13.05	-63.900002	35.700001
1708645632.0	-400.878876	-678.222595	-602.050781	-0.267176	-0.541985	0.671756	12.450001	-63.750004	35.550003
1709564160.0	-432.617157	-680.664001	-600.585938	0.709924	0.687023	2.435115	13.200001	-63.000004	37.350002
1709741312.0	-420.898407	-701.171814	-618.652344	-1.061069	-3.580153	3.183206	13.650001	-63.150002	36.75
1709916288.0	-505.371063	-769.042908	-655.273376	0.503817	-0.374046	-2.015267	12.450001	-63.300003	36.600002
1710091648.0	-555.175781	-739.746033	-658.203064	0.961832	-0.175573	-1.648855	12.6	-62.700001	35.700001
1710264064.0	-425.292938	-701.171814	-613.769531	0.770992	-2.931298	-0.633588	12.450001	-63.300003	36.300003
1710436608.0	-481.933563	-771.484314	-727.05072	1.778626	-3.175573	3.244275	12.0	-63.300003	35.550003
1710611328.0	-533.203125	-819.824158	-712.890564	-2.732824	1.977099	-0.80916	13.05	-63.900002	35.400002
1710784128.0	-454.589813	-677.246033	-632.324219	1.992366	-0.916031	-0.931298	13.200001	-63.750004	36.300003
1710956160.0	-381.347626	-578.613281	-518.554688	2.053435	-3.961832	0.267176	13.200001	-63.000004	35.850002
1711130624.0	-490.234344	-797.36322	-773.437439	-1.10687	-1.183206	-0.51145	13.200001	-63.300003	34.050003
1712057984.0	-278.320313	-704.589783	-551.757813	0.877863	-6.503817	2.541985	11.700001	-63.000004	35.100002
1712230144.0	-349.609344	-628.90625	-527.832031	0.885496	-2.549618	1.351145	13.05	-63.150002	36.0
1712404352.0	-460.449188	-670.898376	-551.269531	-1.167939	-0.664122	-0.198473	11.85	-63.600002	34.200001
1712576512.0	-562.5	-750.976501	-667.968689	1.251908	-0.977099	-0.824427	12.6	-61.950001	35.400002
1712748672.0	-419.921844	-685.058533	-647.460876	2.251908	2.732824	0.78626	12.450001	-63.000004	34.5
1712921472.0	-472.167938	-781.73822	-748.046814	0.70229	-0.526718	-2.022901	12.6	-62.700001	33.900002
1713092096.0	-408.691376	-807.617126	-695.312439	0.587786	-1.40458	-1.832061	12.0	-62.250004	33.75
1713262592.0	-403.320282	-708.496033	-582.03125	0.534351	1.824427	-0.694656	13.200001	-63.300003	33.300003
1713435264.0	-426.269501	-737.792908	-600.097656	-3.122137	4.015267	-5.099236	12.0	-61.050003	34.800003
1713605888.0	-469.238251	-689.941345	-575.195313	-1.908397	-0.091603	-1.206107	11.55	-61.950001	34.200001
1714558592.0	-399.414032	-633.300781	-544.921875	1.198473	1.229008	-2.419847	12.0	-61.500004	33.300003
1714731392.0	-375.976532	-633.789063	-552.734375	-2.633588	2.687023	-7.175572	11.400001	-60.600002	34.5
1714901760.0	-354.980438	-626.464844	-626.464844	-3.374046	0.770992	-0.480916	13.05	-61.950001	33.600002
1715073280.0	-380.859344	-684.570251	-612.304688	-0.916031	-2.679389	-1.015267	11.85	-61.950001	33.150002
1715246592.0	-439.453094	-742.187439	-622.558594	-1.793893	0.48855	-4.679389	10.8	-62.400002	32.400002
